unit,hhtyp,indic_il,geo\time	2022 	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 
EUR,A_GE2_DCH,MED_E,AL	: 	2026 	2038 	1756 	1594 	1354 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,A_GE2_DCH,MED_E,AT	22066 b	21472 	20952 	19138 	19723 	18765 	17933 	17800 	18156 	16956 	16575 	15930 	16021 	16111 	15273 b	14161 	13708 	13259 	12793 	11667 
EUR,A_GE2_DCH,MED_E,BE	24951 b	23116 	23863 	22582 b	22406 	21798 	21391 	20540 	20552 	20595 	18529 	18290 	18059 	17733 	16667 	16143 	16259 	15133 	14307 	14429 
EUR,A_GE2_DCH,MED_E,BG	4396 b	3991 	3878 	3519 	2845 	2884 	2448 b	2677 	2397 	2327 	2324 	2332 	2439 	2497 	1881 	1253 	1044 	: 	: 	: 
EUR,A_GE2_DCH,MED_E,CH	38547 	38210 	35729 	34188 	35780 	36192 	36731 	32830 	31139 b	34746 	32872 	28519 	25702 	24205 	22632 	22868 	: 	: 	: 	: 
EUR,A_GE2_DCH,MED_E,CY	16572 b	15239 	15389 	14883 	13784 	12907 	12495 	12169 	12881 	14204 	15184 	15369 	14703 	15422 	14782 b	15262 	13720 	12487 	: 	: 
EUR,A_GE2_DCH,MED_E,CZ	11431 b	9572 	10134 	9658 	8671 	7808 	7277 	6828 	6852 	6807 	6826 	6488 	6128 	6403 	5158 	4684 	4125 	3623 	: 	: 
EUR,A_GE2_DCH,MED_E,DE	21556 b	20865 	23408 b	20841 	20011 	19451 	18803 	18579 	17550 	17560 	17770 	16667 	16641 	16463 	16354 	15643 	12858 	13526 	: 	: 
EUR,A_GE2_DCH,MED_E,DK	34193 b	32245 	30638 b	32079 	31018 	30572 	29895 	29284 	28305 	27904 	27449 	26993 b	25772 	24517 	24299 	23504 	22138 	21561 	20704 	20649 
EUR,A_GE2_DCH,MED_E,EA	: 	17428 	17962 b	17087 	16514 e	16019 e	15477 e	15067 e	14798 e	14705 e	14800 e	14470 e	14513 e	14522 e	14462 e	: 	: 	: 	: 	: 
EUR,A_GE2_DCH,MED_E,EA18	: 	: 	18045 b	17170 	16599 	16110 	15568 	15165 	14798 	14640 	14729 	14397 	14397 	14417 	14133 	12914 	12094 	11913 	: 	: 
EUR,A_GE2_DCH,MED_E,EA19	: 	17428 	17962 b	17087 	16514 	16019 	15477 	15067 	14698 	14537 	14618 	14281 	14270 	14303 	14016 	12793 	11971 	11791 	: 	: 
EUR,A_GE2_DCH,MED_E,EA20	18327 	17305 	17817 	16939 	16362 	15866 	15318 	14905 	14633 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,A_GE2_DCH,MED_E,EE	14203 	11509 	10814 	10653 	9832 	8353 	7900 	7408 	6895 b	6206 	5667 	5179 	5172 	5596 	5280 	4227 	3397 	2881 	2429 	: 
EUR,A_GE2_DCH,MED_E,EL	7611 b	6800 	6805 	6420 	6000 	5920 	5613 	5571 	5710 	6119 	7956 	10048 	10348 	10238 	9808 	8889 	8886 	8780 	8327 	7324 
EUR,A_GE2_DCH,MED_E,ES	13566 b	12151 	13333 	12908 	12831 	12030 	11000 	10648 	10140 	10305 	10804 	11321 	11739 	11995 	11534 b	9783 	9381 	8883 	8379 	: 
EUR,A_GE2_DCH,MED_E,EU	: 	: 	: 	15170 e	14709 e	14208 e	13820 e	13413 e	13069 e	12669 e	12743 e	12215 e	12136 e	12216 e	12148 e	: 	: 	: 	: 	: 
EUR,A_GE2_DCH,MED_E,EU27_2007	: 	: 	: 	15251 e	14793 	14292 	13909 	13504 	13160 	12754 	12830 	12294 	12211 	12216 	12148 	11402 	10499 e	10215 e	: 	: 
EUR,A_GE2_DCH,MED_E,EU27_2020	16058 	15080 	15431 b	14650 e	14125 e	13597 e	13154 e	12777 e	12418 e	12278 e	12255 e	11912 e	11760 e	: 	: 	: 	: 	: 	: 	: 
EUR,A_GE2_DCH,MED_E,EU28	: 	: 	: 	15170 e	14709 	14208 	13820 	13413 	13069 	12669 	12741 	12215 	12136 	: 	: 	: 	: 	: 	: 	: 
EUR,A_GE2_DCH,MED_E,FI	25542 	23855 	24029 	23656 	22664 	21609 	21406 	21626 	21457 	21265 	20923 	19873 	19148 	18928 	18010 	16934 	16409 	15762 	14723 	: 
EUR,A_GE2_DCH,MED_E,FR	20659 b	20780 	19520 b	20125 	19350 	19078 	18806 	18520 	18507 	18213 	17953 	16933 	17075 	16960 	16273 b	13683 	14157 	13774 	12982 	: 
EUR,A_GE2_DCH,MED_E,HR	7963 b	7303 	7268 	6534 	5831 	5310 	4653 	4276 	4064 	4132 	4231 	4326 	4682 	: 	: 	: 	: 	: 	: 	: 
EUR,A_GE2_DCH,MED_E,HU	5577 b	5028 	5291 	4681 	4224 	3688 	3443 	3246 	3138 	3127 	3441 	2988 	2790 	3095 	2848 	2679 	2791 	2424 	: 	: 
EUR,A_GE2_DCH,MED_E,IE	25472 b	23768 	23125 b	22066 	22175 	20493 	18994 	17961 	16332 	15877 	15157 	15207 	15052 	18579 	19319 	18979 	17290 	16148 	16328 	15269 
EUR,A_GE2_DCH,MED_E,IS	: 	: 	: 	: 	37735 	32017 	26304 	22698 	20784 	19130 	17397 	17075 	16063 	20754 	30302 	26908 	26437 	21528 	20501 	: 
EUR,A_GE2_DCH,MED_E,IT	15252 b	13546 	14747 	14087 	13535 	13232 	13177 	12962 	12920 	12688 	13022 	13146 	12829 	12786 	13097 	12565 	12033 	11734 	11079 	: 
EUR,A_GE2_DCH,MED_E,LT	9498 b	8318 	7841 	6860 	6373 	5419 	5042 	4600 	4105 	3752 	3590 	2896 	3027 	4118 	3800 	3020 	2350 	1900 	: 	: 
EUR,A_GE2_DCH,MED_E,LU	35022 b	33439 b	28725 b	27169 	25532 	27452 	24385 b	27256 	25540 	23357 	22798 	24670 	23115 	23489 	24915 	24729 	23647 	21194 	21085 	20227 
EUR,A_GE2_DCH,MED_E,LV	9226 b	8827 	8033 	7598 	6892 	6040 	5864 	5348 	4532 	4023 	3811 	3455 	3719 	5084 	4482 	3024 	2220 	1917 	: 	: 
EUR,A_GE2_DCH,MED_E,ME	3088 	2717 	2829 	2710 	2722 	2500 	2308 	2250 	2038 	2087 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,A_GE2_DCH,MED_E,MK	: 	: 	2053 	2028 	1922 	1767 	1660 	1619 	1504 	1502 	1396 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,A_GE2_DCH,MED_E,MT	17348 b	15996 	14960 	14631 	14119 	13645 	12565 	12524 	11464 	10220 	9696 	9058 	8799 	9119 	8880 	8253 	7788 	7729 	: 	: 
EUR,A_GE2_DCH,MED_E,NL	31161 b	29529 	25650 	24433 	23923 	23370 	22183 b	20356 	19642 	19389 	18974 	18646 	18723 	18625 	18251 	16878 	15548 	15051 	: 	: 
EUR,A_GE2_DCH,MED_E,NO	35041 	30915 b	35688 	35161 	35065 	34085 	35751 	36936 	38803 	38315 	35495 	31847 	29166 	30430 	27779 	25545 	22553 	21633 	23646 	24815 
EUR,A_GE2_DCH,MED_E,PL	6443 b	6195 	6176 	5443 	5010 	4477 	4656 	4432 	4179 	4032 	3999 	4014 	3490 	4080 	3230 	2585 	2250 	1768 	: 	: 
EUR,A_GE2_DCH,MED_E,PT	9359 b	9725 b	9810 	9028 	8398 	8074 	7605 	7256 	6762 	6815 	7026 	7175 	7160 	6898 	7108 	6576 	6242 	6186 	5915 	: 
EUR,A_GE2_DCH,MED_E,RO	4325 b	3871 	3440 	3020 	2541 	2010 	1688 	1645 	1445 	1425 	1400 	1406 	1429 	1512 	1438 	1202 	: 	: 	: 	: 
EUR,A_GE2_DCH,MED_E,RS	: 	3043 	3027 	2506 	2012 	1831 	1695 	1664 	1645 	1711 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,A_GE2_DCH,MED_E,SE	24296 	22238 	21802 	21247 	22804 	22171 	21839 	22402 	22189 	22592 	21086 	18793 	16460 	17734 	16784 b	15577 	15036 	14348 	14488 	: 
EUR,A_GE2_DCH,MED_E,SI	15190 b	13931 	13321 	12885 	11956 	11345 	11014 	11043 	10479 	10275 	10486 	10286 	10027 	10153 	9314 	8381 	7870 	7183 	: 	: 
EUR,A_GE2_DCH,MED_E,SK	6221 b	6257 	6778 	6508 	5913 	5607 	5417 	5398 	5312 	5426 	5672 	5197 	5054 	4709 	4040 	3349 	2666 	2323 	: 	: 
EUR,A_GE2_DCH,MED_E,TR	: 	1944 	2323 	2212 	2564 	2867 	2755 	2497 	2589 	2525 	2404 	2504 	2040 	2261 	2197 	2045 	1789 	: 	: 	: 
EUR,A_GE2_DCH,MED_E,UK	: 	: 	: 	: 	18673 	18418 b	18665 	18160 	17983 	15660 	16459 b	14449 	14956 	14148 	17101 	19044 	17584 	16986 	: 	: 
EUR,A_GE2_DCH,MED_E,XK	: 	: 	: 	: 	1617 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,A_GE2_DCH,MEI_E,AL	: 	2464 	2429 	2142 	1923 	1714 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
